params 206.1M | tokens 350545 | seqs 350545 | device cuda:0 | world 8 | fa True | fp8 True
cfg batch 24 accum 1 seq 4096 grad_ckpt False doc_mask True attn_res True/4 softcap 15.0 warmup 150 epochs 1 lr_scale 0.5 mix data/mix.json
step 3450/14606 loss 2.821 | 81K tok/s/gpu | MFU 34%
step 3460/14606 loss 2.806 | 81K tok/s/gpu | MFU 34%
step 3470/14606 loss 3.041 | 81K tok/s/gpu | MFU 34%
step 3480/14606 loss 2.927 | 81K tok/s/gpu | MFU 34%
step 3490/14606 loss 2.920 | 81K tok/s/gpu | MFU 34%
step 3500/14606 val 2.441
step 3500/14606 loss 3.124 | 52K tok/s/gpu | MFU 22%
step 3510/14606 loss 3.015 | 78K tok/s/gpu | MFU 33%
step 3520/14606 loss 2.890 | 81K tok/s/gpu | MFU 34%
step 3530/14606 loss 3.164 | 81K tok/s/gpu | MFU 34%
step 3540/14606 loss 3.114 | 81K tok/s/gpu | MFU 34%
step 3550/14606 loss 3.097 | 81K tok/s/gpu | MFU 34%
step 3560/14606 loss 3.200 | 81K tok/s/gpu | MFU 34%
step 3570/14606 loss 3.086 | 81K tok/s/gpu | MFU 34%
step 3580/14606 loss 3.092 | 81K tok/s/gpu | MFU 34%
step 3590/14606 loss 3.097 | 81K tok/s/gpu | MFU 34%
step 3600/14606 loss 3.281 | 78K tok/s/gpu | MFU 32%
step 3610/14606 loss 3.026 | 81K tok/s/gpu | MFU 34%
step 3620/14606 loss 2.965 | 81K tok/s/gpu | MFU 34%
step 3630/14606 loss 3.153 | 81K tok/s/gpu | MFU 34%
step 3640/14606 loss 2.959 | 81K tok/s/gpu | MFU 34%
step 3650/14606 loss 2.660 | 81K tok/s/gpu | MFU 34%
step 3660/14606 loss 2.719 | 81K tok/s/gpu | MFU 34%
step 3670/14606 loss 3.031 | 81K tok/s/gpu | MFU 34%
step 3680/14606 loss 3.032 | 81K tok/s/gpu | MFU 34%
step 3690/14606 loss 3.132 | 81K tok/s/gpu | MFU 34%
step 3700/14606 loss 2.971 | 81K tok/s/gpu | MFU 34%
